category,title,link,summary
금융,"금감원, 전세사기 피해주택 경매·매각 6개월 이상 유예",https://n.news.naver.com/mnews/article/016/0002132399?sid=101,"해당 전세사기 피해 주택을 담보로 취급한 금융기관은 대출의 기한의이익 상실 여부, 경매 여부 및 진행상황 등을 파악해 피해자가 희망하는 경우 경매절차 개시를 유예하거나, 경매가 이미 진행된 경우에는 매각 연기를 추진할 계획이다."
증권,"[뉴스새벽배송]뉴욕증시, 실적발표 속 보합…엔비디아 2%대↑",https://n.news.naver.com/mnews/article/018/0005466874?sid=101,-하원 군사위원회 전략군 소위원회의 민주당 간사인 세스 몰턴 의원은 18일(현지시간) 전략소위의 미사일방어 예산 청문회에서 북한이 지난 2월 열병식에서 ICBM 11대를 선보인 점을 언급.
산업/재계,"금강공업, 국내 최고 13층 '모듈러 주택' 성공…공기 단축하고 건축 폐기물도 줄여",https://n.news.naver.com/mnews/article/015/0004834769?sid=101,"차별화된 미래지향적 공법 개발 시스템 욕실, 형단조 기업 M&A 모듈러 주택사업 경쟁력 강화 
금강공업은 축적된 모듈러 건축 기술을 토대로 차별화된 미래지향적 공법을 지속 개발하고 있다."
중기/벤처,"""앞으로 3~4개월이 스타트업 골든타임...투자회수 시장 살려라"" [긱스]",https://n.news.naver.com/mnews/article/015/0004834470?sid=101,"정신아 대표는 ""중기부가 민간기업이 스타트업 생태계에 참여할 수 있도록 '가교' 역할을 해주면 좋겠다""며 ""민간기업의 벤처펀드 출자 시 세제 혜택을 강화하고, 스타트업 M&A를 지원하는 방안이 필요하다""고 강조했다."
부동산,미아역 초역세권 입지 '엘리프 미아역' 공급,https://n.news.naver.com/mnews/article/014/0004999144?sid=101,"엘리프 미아역은 지하철 4호선 미아역 초역세권에 위치해 있으며, 미아역을 통해 종로, 동대문 출퇴근이 20분 대로 가능하다."
글로벌 경제,4월 19일 글로벌 이슈 [글로벌 시황&이슈],https://n.news.naver.com/mnews/article/215/0001096356?sid=101,"보스틱 총재는 또, 앞으로 나오는 미국의 경제지표들이 예상과 부합한다면, 연준은 5월 이후부터는 아마도 상당히 오랜 기간 금리를 동결할 수 있을 것이라고 말했는데요, 올해 내내, 어쩌면 내년까지도 추가 금리인상이 없을 수도 있다고 덧붙였습니다."
생활경제,"현대그린푸드, 농협경제지주와 국산 농산물 판로 확대 나선다",https://n.news.naver.com/mnews/article/421/0006756260?sid=101,이날 서울 중구 농협중앙회 본관에서 열린 합의각서 체결식에는 박홍진 현대그린푸드 대표이사 사장과 우성태 농협경제지주 대표이사 등 양측 주요 관계자들이 참석했다.
경제 일반,"반도체 장비 심사 때 도면 제출 면제…정부, 55건 규제혁신 발굴",https://n.news.naver.com/mnews/article/003/0011812351?sid=101,"[서울=뉴시스]삼성전자 평택 캠퍼스 반도체 공장 내부.(사진=삼성전자 제공) *재판매 및 DB 금지 독일 제약회사 공장 증설 부지 제안…6000억 투자 창출 정부는 규제, 행정절차 지연 등으로 투자가 지체되거나 불확실한 투자 프로젝트를 발굴해 애로를 해소했다."
모바일,"삼성전자, '2023 월드IT쇼' 참가...갤S23 모바일 경험 선보여",https://n.news.naver.com/mnews/article/092/0002289306?sid=105,19일 서울 코엑스에서 열린 '2023 월드IT쇼' 삼성전자관에서 관람객들이 '갤럭시 S23 울트라'로 고사양 게임을 마음껏 즐기며 강력한 게이밍 퍼포먼스를 체험하고 있다.(사진=삼성전자) 방문객들은 갤럭시 S23 시리즈의 강력한 게이밍 퍼포먼스도 체험할 수 있다.
인터넷/SNS,가입자 반발 의식했나…넷플릭스 계정공유 유료화 2분기로 연기,https://n.news.naver.com/mnews/article/015/0004834574?sid=105,"넷플릭스는 1분기 매출과 영업이익이 자사의 예상치에 부합했다면서 이런 실적을 견인한 ""강력한 콘텐츠""로 '아우터 뱅크스', '머더 미스터리 2' 등 영어 TV드라마, 영화와 함께 한국 드라마 '더 글로리'를 꼽았다."
통신/뉴미디어,"SKT, ‘WIS 2023’서 AI·UAM 등 첨단 ICT 기술 전시",https://n.news.naver.com/mnews/article/119/0002704202?sid=105,SK텔레콤 전시관 안쪽에는 실물 사이즈의 UAM 가상 체험 시뮬레이터가 설치된다.
IT 일반,"[WIS 2023] SK텔레콤, AI·메타버스·UAM 첨단 ICT 기술 선봬",https://n.news.naver.com/mnews/article/629/0000212464?sid=105,/SK텔레콤 아울러 SKT는 독점 파트너십을 체결한 세계적인 UAM 기체 선도 기업 '조비 에비에이션'의 실물 사이즈의 UAM 모형 기체와 가상 체험 시뮬레이터를 결합해 이번 전시에 선보인다.
보안/해킹,"롯데엘포인트 등 韓 60개 앱서 악성코드…""취약점 개선""(종합)",https://n.news.naver.com/mnews/article/421/0006754068?sid=105,"다만 티맵모빌리티는 해당 보안업체가 티맵을 악성 소프트웨어(SW)가 담긴 앱으로 오탐지 했을 것으로 본다.
다만 티맵모빌리티는 연구진이 티맵을 악성 앱으로 오인했을 가능성이 높다고 본다."
컴퓨터,"마이크로소프트, '생성형AI'  적용할 AI칩 독자 개발 추진 [美 증시 & IT]",https://n.news.naver.com/mnews/article/138/0002146756?sid=105,"전기차 대표주 테슬라는 하락한 마감했고 리비안( 루시드( 약세로 마감했다.
이날 반도체 기업들의 주가도 대체로 약세로 마감했지만 엔비디아가 상승한 마감해 52주 최고치를 기록해 주목을 끌었다."
게임/리뷰,"넷마블, 메타버스 부동산 게임 ‘모두의마블2’ 글로벌 출시",https://n.news.naver.com/mnews/article/119/0002704369?sid=105,"넷마블은 메타버스 기반 부동산, 보드 게임 '모두의마블2: 메타월드(이하 모두의마블2)'를 19일 한국 등 일부 국가를 제외하고 글로벌 정식 출시했다."
과학 일반,"보건의료 기술, 2027년까지 미국 82% 수준으로 올린다",https://n.news.naver.com/mnews/article/421/0006757847?sid=105,신약 개발을 위한 핵심기술 확보 및 생산 과정의 디지털화를 통해 글로벌 경쟁력을 강화하는 한편 첨단재생의료의 접근성을 높이기 위해 관련 제도를 개선한다.
